contributor,bothunter_type
AnaGabela,Human
Dr-Irv,Human
GPUtester,Human
JuliaTagBot,Bot
Lilly-May,Human
RemieJanssen,Human
VectorNd,Human
alanlujan91,Human
atrisovic,Human
bnavigator,Human
codecov[bot],Bot
codspeed-hq[bot],Bot
conradsnicta,Human
dependabot[bot],Bot
dieghernan,Human
fboehm,Human
galaxyproject-sentryintegration[bot],Bot
github-merge-queue[bot],Bot
hajimes,Human
ivilata,Human
jklymak,Human
kaandocal,Human
larrybradley,Human
marieBvr,Human
mhvk,Human
mwtoews,Human
omaech,Human
pkgw,Human
pre-commit-ci[bot],Bot
renovate[bot],Bot
rodoulak,Bot
rouault,Human
scikit-learn-bot,Bot
shrit,Human
sklearn-ci,Bot
stan-buildbot,Bot
tardis-bot,Human
thomasjpfan,Human
westurner,Human
zeptodoctor,Human
