contributor,bothunter_type
BwL1289,Human
DilumAluthgeBot,Human
HelenaLC,Human
JuliaRegistrator,Bot
Micky774,Human
ShixiangWang,Human
ZedThree,Human
allcontributors[bot],Bot
andrewfullard,Human
b-rodrigues,Human
bioc-issue-bot,Bot
brosaplanella,Human
chainer-ci,Bot
codecov[bot],Bot
commit-0,Human
coveralls,Bot
cwhite911,Human
dzenanz,Human
editorialbot,Human
fubar2,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
hmaarrfk,Human
imagesc-bot,Bot
jbednar,Human
jorisvandenbossche,Human
kellertuer,Human
longemen3000,Human
mathbunnyru,Human
mergify[bot],Bot
mlubin,Human
netlify[bot],Bot
nglm,Human
paddyroddy,Human
r-devulap,Human
sanjaysrikakulam,Human
stefanpeidli,Human
trallard,Human
welcome[bot],Bot
xlxs4,Human
