contributor,bothunter_type
Charlie-XIAO,Human
Illviljan,Human
OmarManzoor,Human
Stars1233,Human
abretaud,Human
allcontributors[bot],Bot
anntzer,Human
benbovy,Human
canergen,Human
chainer-ci,Bot
commit-0,Human
coveralls,Bot
dannon,Human
dependabot[bot],Bot
editorialbot,Human
emdupre,Human
gil2rok,Human
github-merge-queue[bot],Bot
huard,Human
imagesc-bot,Bot
jef-n,Human
jromanowska,Human
kmuehlbauer,Human
lucianopaz,Human
lumberbot-app[bot],Bot
max-de-rooij,Human
meeseeksmachine,Bot
mergify[bot],Bot
mooniean,Human
nanosoldier,Human
netlify[bot],Bot
nmauri,Human
pangeo-bot,Bot
pavanvidem,Human
rcannood,Human
sckott,Human
supernord,Human
tylerjereddy,Human
welcome[bot],Bot
ymzayek,Human
