contributor,bothunter_type
Czaki,Human
JasonWeill,Human
PatrickRWright,Human
SteveBronder,Human
adonath,Human
aphearin,Human
bernt-matthias,Human
ccordoba12,Human
codspeed-hq[bot],Bot
conda-bot,Human
dask-bot,Bot
davelopez,Human
dependabot[bot],Bot
eni-awowale,Human
galaxyproject-sentryintegration[bot],Bot
github-merge-queue[bot],Bot
gkthiruvathukal,Human
gxydevbot,Human
ianthomas23,Human
jeroen,Human
jstac,Human
kpamnany,Human
kwrobot,Human
lukashof,Human
maxrjones,Human
mirror-dump,Human
mpadge,Human
napari-bot,Bot
normanrz,Human
pep8speaks,Bot
perazz,Human
pre-commit-ci[bot],Bot
registerrier,Human
renovate[bot],Bot
review-notebook-app[bot],Bot
rodoulak,Bot
scw,Human
takluyver,Human
valentinsulzer,Human
yuxuanzhuang,Human
