contributor,bothunter_type
CAM-Gerlach,Human
GPUtester,Human
Hind-M,Human
JuliaTagBot,Bot
MilesCranmer,Human
ShubhamDesai,Human
Zeitsperre,Human
allcontributors[bot],Bot
andrjohns,Human
baggepinnen,Human
bioc-workshop-dev,Human
bryanwweber,Human
codecov-commenter,Bot
codecov[bot],Bot
codspeed-hq[bot],Bot
conda-bot,Human
czgdp1807,Human
dask-bot,Bot
dependabot[bot],Bot
e-marshall,Human
gabalafou,Human
github-merge-queue[bot],Bot
gxydevbot,Human
hmacdope,Human
jbrockmendel,Human
josephnowak,Human
kellyrowland,Human
kwrobot,Human
lorentzenchr,Human
matthew-brett,Human
mmcky,Human
netlify[bot],Bot
ngoldbaum,Human
pamitabh,Human
pre-commit-ci[bot],Bot
raacampbell,Human
santacodes,Human
stefanv,Human
trangdata,Human
xuanxu,Human
