contributor,bothunter_type
BioTurboNick,Human
DilumAluthgeBot,Human
GenevieveBuckley,Human
JuliaRegistrator,Bot
MasonProtter,Human
SebastianM-C,Human
WillAyd,Human
andfoy,Human
ayshih,Human
bioc-issue-bot,Bot
brisvag,Human
chainer-ci,Bot
commit-0,Human
coveralls,Bot
cthoyt,Human
dependabot[bot],Bot
dstansby,Human
editorialbot,Human
fraukewiese,Human
github-merge-queue[bot],Bot
hackmd-hub[bot],Bot
hexaeder,Human
jarrodmillman,Human
jorenham,Human
keewis,Human
llorracc,Human
lumberbot-app[bot],Bot
martinholters,Human
mkcor,Human
neteler,Human
oyamad,Human
ptaconet,Human
review-notebook-app[bot],Bot
samhforbes,Human
srmnitc,Human
tomwhite,Human
transifex-integration[bot],Bot
weblate,Bot
welcome[bot],Bot
xhochy,Human
