contributor,bothunter_type
DanRyanIrish,Human
JeffBezanson,Human
PeteHaitch,Human
Sumit112192,Human
adrhill,Human
ararslan,Human
betatim,Human
cdeil,Human
coveralls,Bot
davidanthoff,Human
dependabot[bot],Bot
editorialbot,Human
eric-wieser,Human
galaxyproject-sentryintegration[bot],Bot
github-merge-queue[bot],Bot
glemaitre,Human
hackmd-hub[bot],Bot
ilan-gold,Human
imagesc-bot,Bot
jeromekelleher,Human
jtpio,Human
krassowski,Human
luxedo,Human
mbarzegary,Human
meeseeksmachine,Bot
mrazomej,Human
nanosoldier,Human
nsajko,Human
pangeo-bot,Bot
peterjc,Human
petscbot,Bot
renovate[bot],Bot
reshamas,Human
review-notebook-app[bot],Bot
ropensci-review-bot,Human
seanm,Human
taladjidi,Human
transifex-integration[bot],Bot
vandalt,Human
yvanlebras,Human
