contributor,bothunter_type
ArnoStrouwen,Human
DilumAluthgeBot,Human
ErikQQY,Human
JuliaRegistrator,Bot
MarcBresson,Human
Saransh-cpp,Human
WardBrian,Human
allcontributors[bot],Bot
amaloney,Human
avivazran,Human
bioc-issue-bot,Bot
bradcarman,Human
chainer-ci,Bot
codecov[bot],Bot
commit-0,Human
crspencer11,Human
dependabot[bot],Bot
drew-parsons,Human
flekschas,Human
github-merge-queue[bot],Bot
headtr1ck,Human
jadh4v,Human
joaquimg,Human
karllark,Human
lesteve,Human
marthacryan,Human
mergify[bot],Bot
minrk,Human
nathansam,Human
netlify[bot],Bot
osorensen,Human
pogudingleb,Human
pre-commit-ci[bot],Bot
rwood-97,Human
spaette,Human
spyder-bot,Bot
sympy-bot,Bot
tk-yoshimura,Human
weblate,Bot
wolfv,Human
