contributor,bothunter_type
Carifio24,Human
IAlibay,Human
JuliaTagBot,Bot
N-Dekker,Human
SoilRos,Human
Zethson,Human
andyfaff,Human
bebatut,Human
bioc-workshop-dev,Human
bsipocz,Human
codecov-commenter,Bot
codspeed-hq[bot],Bot
conda-bot,Human
dalthviz,Human
dask-bot,Bot
eendebakpt,Human
galaxyproject-sentryintegration[bot],Bot
garth-wells,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
gxydevbot,Human
hackmd-hub[bot],Bot
hoxbro,Human
jd-foster,Human
jpdean,Human
kenodegard,Human
kwrobot,Human
lrnv,Human
matthewturk,Human
mirror-dump,Human
mnwhite,Human
nickodell,Human
pat-s,Human
rafaelorozco,Human
renovate[bot],Bot
review-notebook-app[bot],Bot
sathvikbhagavan,Human
steppi,Human
tupui,Human
yarikoptic,Human
