contributor,bothunter_type
ChrisRackauckas,Human
InessaPawson,Human
OriolAbril,Human
Stat-Cook,Human
adamhsparks,Human
allcontributors[bot],Bot
anuprulez,Human
benjamindonnachie,Human
carstenbauer,Human
codecov-commenter,Bot
codecov[bot],Bot
conda-bot,Human
dask-bot,Bot
datapumpernickel,Human
emmaai,Human
giordano,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
gxydevbot,Human
hugoledoux,Human
jeffjennings,Human
jsagerOffis,Human
koide3,Human
kwrobot,Human
lucydot,Human
maximlt,Human
mergify[bot],Bot
mirror-dump,Human
moorepants,Human
napari-bot,Bot
netlify[bot],Bot
nomadscientist,Human
pcm32,Human
pep8speaks,Bot
pre-commit-ci[bot],Bot
rcomer,Human
scottshambaugh,Human
tacaswell,Human
uditbaliyan,Human
yspolyakov,Human
