contributor,bothunter_type
DeaMariaLeon,Human
KristofferC,Human
Prtm2110,Human
TariniHardikar,Human
agriyakhetarpal,Human
artemsolod,Human
bkhelifi,Human
chrishavlin,Human
codecov[bot],Bot
codspeed-hq[bot],Bot
dcherian,Human
ev-br,Human
galaxyproject-sentryintegration[bot],Bot
github-actions[bot],Bot
github-advanced-security[bot],Bot
grlee77,Human
ischoegl,Human
jhlegarreta,Human
junpenglao,Human
kvantas,Human
kwrobot,Human
majensen,Human
melissawm,Human
mirror-dump,Human
mseminatore,Human
napari-bot,Bot
odow,Human
pep8speaks,Bot
philipcardiff,Human
pre-commit-ci[bot],Bot
renovate[bot],Bot
rkern,Human
rodoulak,Bot
scikit-learn-bot,Bot
sethaxen,Human
sklearn-ci,Bot
stan-buildbot,Bot
teonbrooks,Human
vissarion,Human
zhubonan,Human
