contributor,bothunter_type
AlexAndorra,Human
DilumAluthgeBot,Human
Doug-vN,Human
JuliaRegistrator,Bot
LilithHafner,Human
RemDelaporteMathurin,Human
VascoSch92,Human
aladinor,Human
allcontributors[bot],Bot
athrasher7,Human
bmwoodruff,Human
codecov[bot],Bot
codspeed-hq[bot],Bot
conradolandia,Human
diazrenata,Human
fatteneder,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
haider8645,Human
ivastar,Human
jjhelmus,Human
jzuhone,Human
landam,Human
margauxmouchene,Human
mhubii,Human
mwcraig,Human
netlify[bot],Bot
olexandr-konovalov,Human
petscbot,Bot
pierrepeterlongo,Human
pre-commit-ci[bot],Bot
ropensci-review-bot,Human
rosteen,Human
scverse-bot,Bot
shoyer,Human
spyder-bot,Bot
sympy-bot,Bot
thodson-usgs,Human
weblate,Bot
wenzeslaus,Human
