contributor,bothunter_type
AdamRJensen,Human
DominicWC,Human
GPUtester,Human
LiNk-NY,Human
RMeli,Human
TorkelE,Human
akshaygulabrao,Human
allcontributors[bot],Bot
astrofrog,Human
bmorris3,Human
clin1234,Human
codecov[bot],Bot
dhruvbalwada,Human
faroit,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
h-vetinari,Human
ivanpan0626,Human
jjerphan,Human
jwokaty,Human
lagru,Human
maresb,Human
mergify[bot],Bot
mhauru,Human
mvdbeek,Human
netlify[bot],Bot
olebole,Human
pep8speaks,Bot
phume03,Human
rodoulak,Bot
rossbar,Human
scikit-learn-bot,Bot
shlff,Human
sklearn-ci,Bot
stan-buildbot,Bot
tardis-bot,Human
thewtex,Human
weiji14,Human
welcome[bot],Bot
zeptodoctor,Human
