contributor,bothunter_type
AayushSabharwal,Human
DilumAluthgeBot,Human
DimitriPapadopoulos,Human
LecrisUT,Human
QuLogic,Human
TomNicholas,Human
ajstewartlang,Human
allcontributors[bot],Bot
asmeurer,Human
blowekamp,Human
ckdckd145,Human
dependabot[bot],Bot
dhomeier,Human
falexwolf,Human
github-merge-queue[bot],Bot
guerler,Human
ivanov,Human
jitseniesen,Human
jvshields,Human
kyracho,Human
lumberbot-app[bot],Bot
marcoesters,Human
mergify[bot],Bot
mgorny,Human
mtsokol,Human
ogrisel,Human
pangeo-bot,Bot
petscbot,Bot
phofl,Human
roflmaostc,Human
ropensci-review-bot,Human
scverse-bot,Bot
shiltemann,Human
spyder-bot,Bot
sympy-bot,Bot
theroggy,Human
transifex-integration[bot],Bot
wd60622,Human
weblate,Bot
welcome[bot],Bot
