contributor,bothunter_type
DarioS,Human
Kevin-Mattheus-Moerman,Human
Pinolinoo,Human
SylviaZhaooo,Human
advait-zx,Human
allcontributors[bot],Bot
arjunsavel,Human
biplovbhandari,Human
charris,Human
codecov[bot],Bot
dbalabka,Human
dependabot[bot],Bot
eteq,Human
github-merge-queue[bot],Bot
goualard-f,Human
gxydevbot,Human
isaacsas,Human
jhale,Human
juliasilge,Human
ksuderman,Human
kwrobot,Human
magsol,Human
mbobra,Human
mergify[bot],Bot
mirror-dump,Human
mscroggs,Human
napari-bot,Bot
netlify[bot],Bot
nuwang,Human
pep8speaks,Bot
phibeck,Human
richardjgowers,Human
rodoulak,Bot
scikit-learn-bot,Bot
see24,Human
sklearn-ci,Bot
tdejager,Human
vincent-picaud,Human
welcome[bot],Bot
zbeekman,Human
