contributor,bothunter_type
Coderambling,Human
Intron7,Human
ParsifalXu,Human
StefanKarpinski,Human
adamltyson,Human
anutosh491,Human
benrutter,Human
cat-bro,Human
codecov[bot],Bot
codspeed-hq[bot],Bot
commit-0,Human
coveralls,Bot
datejada,Human
editorialbot,Human
emmanuelle,Human
giovp,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
hvwaldow,Human
imagesc-bot,Bot
jennaswa,Human
jsspencer,Human
kp992,Human
lucyleeow,Human
maxnoe,Human
meeseeksmachine,Bot
mosc9575,Human
nanosoldier,Human
netlify[bot],Bot
norlandrhagen,Human
pangeo-bot,Bot
pdebuyl,Human
petscbot,Bot
pre-commit-ci[bot],Bot
rcurtin,Human
renovate[bot],Bot
scottyhq,Human
takagi,Human
ufechner7,Human
yuanx749,Human
