contributor,bothunter_type
Azaya89,Human
DilumAluthgeBot,Human
ForgottenProgramme,Human
JuliaRegistrator,Bot
MarcoGorelli,Human
Sch-Da,Human
Wesley-yang,Human
amontoison,Human
ax3l,Human
bioc-issue-bot,Bot
brendan-ward,Human
chainer-ci,Bot
codspeed-hq[bot],Bot
commit-0,Human
coveralls,Bot
csoneson,Human
drvinceknight,Human
fonnesbeck,Human
galaxyproject-sentryintegration[bot],Bot
github-actions[bot],Bot
github-advanced-security[bot],Bot
hendrikmakait,Human
jakirkham,Human
jondo,Human
kbevers,Human
lithomas1,Human
martindurant,Human
miriamkw,Human
nedtaylor,Human
owenlittlejohns,Human
pr0m1th3as,Human
pre-commit-ci[bot],Bot
renovate[bot],Bot
review-notebook-app[bot],Bot
saldanhad,Human
spholmes,Human
sympy-bot,Bot
tomdonaldson,Human
weblate,Bot
wsmoses,Human
