contributor,bothunter_type
DaniGlez,Human
JosephBARBIERDARNAL,Human
Peter-Hogg,Human
SunyongKwon,Human
adrinjalali,Human
araujoms,Human
bgruening,Human
chainsawriot,Human
dask-bot,Bot
davidbrochart,Human
ericphanson,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
gnikit,Human
gxydevbot,Human
hackmd-hub[bot],Bot
ilayn,Human
jessegrabowski,Human
juanis2112,Human
kratman,Human
kwrobot,Human
lumberbot-app[bot],Bot
m-albert,Human
mbauman,Human
mirror-dump,Human
mrclary,Human
napari-bot,Bot
nsoranzo,Human
pep8speaks,Bot
petrasovaa,Human
review-notebook-app[bot],Bot
ricardoV94,Human
rodoulak,Bot
scikit-learn-bot,Bot
sebastian-luna-valero,Human
tarleb,Human
transifex-integration[bot],Bot
vchuravy,Human
welcome[bot],Bot
zachary-foster,Human
