contributor,bothunter_type
Carreau,Human
IanButterworth,Human
NilsKrattinger,Human
Sonja-Stockhaus,Human
Zybulon,Human
anilbey,Human
beckermr,Human
bioc-issue-bot,Bot
bwengals,Human
chainer-ci,Bot
commit-0,Human
coveralls,Bot
danielvartan,Human
editorialbot,Human
effigies,Human
galaxyproject-sentryintegration[bot],Bot
gbaraldi,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
hackmd-hub[bot],Bot
hrhotz,Human
imagesc-bot,Bot
jdavcs,Human
jrbourbeau,Human
khaled196,Human
lshep,Human
lumberbot-app[bot],Bot
mattip,Human
meeseeksmachine,Bot
moble,Human
nanosoldier,Human
nilason,Human
paulflang,Human
ranocha,Human
review-notebook-app[bot],Bot
sbesson,Human
stevengj,Human
transifex-integration[bot],Bot
twiecki,Human
yilinxia,Human
