contributor,bothunter_type
Anurag-Varma,Human
DilumAluthgeBot,Human
ElektrikAkar,Human
JuliaRegistrator,Bot
ManonMarchand,Human
RussellGarwood,Human
VincentAuriau,Human
aloctavodia,Human
avehtari,Human
bioc-issue-bot,Bot
bozaah,Human
chainer-ci,Bot
cpondoc,Human
doronbehar,Human
fingolfin,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
hackmd-hub[bot],Bot
harperjf,Human
jClugstor,Human
jmineau,Human
kanav99,Human
ldouteau,Human
lumberbot-app[bot],Bot
martenson,Human
mergify[bot],Bot
mikelkou,Human
natalie-wa,Human
oscarbenjamin,Human
plover0226,Human
rtimms,Human
scverse-bot,Bot
slager,Human
spyder-bot,Bot
sympy-bot,Bot
timholy,Human
transifex-integration[bot],Bot
weblate,Bot
welcome[bot],Bot
wlandau,Human
