contributor,bothunter_type
AnjaliSandip,Human
DilumAluthgeBot,Human
DrDrij,Human
JuliaRegistrator,Bot
LucaMarconato,Human
Robinlovelace,Human
VicidominiLab,Human
alasdairwilson,Human
aulemahal,Human
bioc-issue-bot,Bot
bob-carpenter,Human
codspeed-hq[bot],Bot
consideRatio,Human
dependabot[bot],Bot
djs0109,Human
fbourgey,Human
galaxyproject-sentryintegration[bot],Bot
github-merge-queue[bot],Bot
hackmd-hub[bot],Bot
hameerabbasi,Human
ivirshup,Human
jmaspons,Human
kalmarek,Human
larsoner,Human
marinegor,Human
michaelbratsch,Human
mzkhalid039,Human
orbeckst,Human
plaplant,Human
renovate[bot],Bot
review-notebook-app[bot],Bot
ropensci-review-bot,Human
rouson,Human
scverse-bot,Bot
simeonschaub,Human
spyder-bot,Bot
sympy-bot,Bot
thyripian,Human
weblate,Bot
willgearty,Human
