contributor,bothunter_type
Cadair,Human
HumphreyYang,Human
JuliaRegistrator,Bot
MridulS,Human
SobhanMP,Human
Zentrik,Human
andy-sweet,Human
baszalmstra,Human
bioc-issue-bot,Bot
bryevdv,Human
chainer-ci,Bot
codecov[bot],Bot
codspeed-hq[bot],Bot
commit-0,Human
coveralls,Bot
d-v-b,Human
dependabot[bot],Bot
ecodiv,Human
editorialbot,Human
galaxyproject-sentryintegration[bot],Bot
gandhis1,Human
github-merge-queue[bot],Bot
hobu,Human
imagesc-bot,Bot
jbusecke,Human
joshmoore,Human
kelvinou01,Human
lpsinger,Human
matthewfeickert,Human
meeseeksmachine,Bot
mmore500,Human
nhz2,Human
pascoec,Human
pre-commit-ci[bot],Bot
rabernat,Human
renovate[bot],Bot
santikka,Human
steffilazerte,Human
travishathaway,Human
yabellini,Human
