contributor,bothunter_type
DilumAluthge,Human
LTLA,Human
Qile0317,Human
TomHarrop,Human
ahuang11,Human
asi1024,Human
blegat,Human
cindytsai,Human
dependabot[bot],Bot
dholth,Human
fabian-s,Human
galaxyproject-sentryintegration[bot],Bot
github-merge-queue[bot],Bot
gtca,Human
hackmd-hub[bot],Bot
ivan-pi,Human
jishnub,Human
jvdp1,Human
kyleniemeyer,Human
lumberbot-app[bot],Bot
marcelotrevisani,Human
mengqi-z,Human
mirror-dump,Human
mtekman,Human
napari-bot,Bot
officialasishkumar,Human
pep8speaks,Bot
philippjfr,Human
review-notebook-app[bot],Bot
robitalec,Human
rodoulak,Bot
scikit-learn-bot,Bot
shasax,Human
sklearn-ci,Bot
stan-buildbot,Bot
tardis-bot,Human
termi-official,Human
transifex-integration[bot],Bot
vyudu,Human
zklaus,Human
