contributor,bothunter_type
Ch0ronomato,Human
IgorBaratta,Human
NucleonGodX,Human
SouthEndMusic,Human
abarciauskas-bgse,Human
annefou,Human
beeankha,Human
bioc-workshop-dev,Human
c42f,Human
codecov-commenter,Bot
conda-bot,Human
daniloceano,Human
dask-bot,Bot
dependabot[bot],Bot
elbeejay,Human
gdalle,Human
github-merge-queue[bot],Bot
gxydevbot,Human
hackmd-hub[bot],Bot
hsbadr,Human
jedbrown,Human
jrdnbradford,Human
kmaehashi,Human
kwrobot,Human
lucascolley,Human
lumberbot-app[bot],Bot
mattpap,Human
mergify[bot],Bot
mirror-dump,Human
moloney,Human
napari-bot,Bot
nilchia,Human
paulzierep,Human
rayegun,Human
scharlottej13,Human
subinamehta,Human
transifex-integration[bot],Bot
twoertwein,Human
welcome[bot],Bot
yjunechoe,Human
