contributor,bothunter_type
Armavica,Human
EmilyXinyi,Human
GPUtester,Human
JuliaTagBot,Bot
MarcBerliner,Human
SaimMomin12,Human
ViralBShah,Human
allcontributors[bot],Bot
alxbnct,Human
avik-pal,Human
bioc-workshop-dev,Human
bpinsard,Human
codecov-commenter,Bot
cproctor,Human
dependabot[bot],Bot
drammock,Human
fjetter,Human
github-merge-queue[bot],Bot
hayesla,Human
jacobtomlinson,Human
jni,Human
kanishkan91,Human
leofang,Human
lumberbot-app[bot],Bot
martey,Human
mergify[bot],Bot
minhqdao,Human
natefoo,Human
netlify[bot],Bot
oscardssmith,Human
pmeier,Human
rwegener2,Human
sklearn-ci,Bot
soupault,Human
stan-buildbot,Bot
tardis-bot,Human
timtreis,Human
welcome[bot],Bot
wm75,Human
zeptodoctor,Human
