contributor,bothunter_type
Davide-sd,Human
Knights-Templars,Human
Pranavchiku,Human
TahiriNadia,Human
afgane,Human
allcontributors[bot],Bot
arjxn-py,Human
bjodah,Human
chriselrod,Human
codecov[bot],Bot
codspeed-hq[bot],Bot
dbast,Human
dependabot[bot],Bot
eunos-1128,Human
github-merge-queue[bot],Bot
greglucas,Human
imagesc-bot,Bot
isabela-pf,Human
jhamman,Human
junghans,Human
ksunden,Human
mahfuz05062,Human
mdsumner,Human
meeseeksmachine,Bot
msdemlei,Human
nanosoldier,Human
netlify[bot],Bot
oameye,Human
pangeo-bot,Bot
petscbot,Bot
philipc2,Human
pre-commit-ci[bot],Bot
rjzamora,Human
ropensci-review-bot,Human
scverse-bot,Bot
serge-sans-paille,Human
spyder-bot,Bot
tecosaur,Human
visr,Human
zerothi,Human
