contributor,bothunter_type
DanielVandH,Human
Keno,Human
PhilipYip1988,Human
SylvainCorlay,Human
adrn,Human
allcontributors[bot],Bot
arfon,Human
bharatAmeria,Human
charlesm93,Human
davidpagnon,Human
editorialbot,Human
eriknw,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
goanpeca,Human
imagesc-bot,Bot
imincik,Human
jgabry,Human
juanitorduz,Human
krishanbhasin-px,Human
lumberbot-app[bot],Bot
m-richards,Human
mblue9,Human
meeseeksmachine,Bot
mergify[bot],Bot
mrocklin,Human
nanosoldier,Human
nstarman,Human
pangeo-bot,Bot
petscbot,Bot
phcerdan,Human
richard-burhans,Human
ropensci-review-bot,Human
scverse-bot,Bot
seberg,Human
tcmetzger,Human
transifex-integration[bot],Bot
veenstrajelmer,Human
welcome[bot],Bot
zacharyburnett,Human
