contributor,bothunter_type
DeerWhale,Human
LLehner,Human
QRemy,Human
TomAugspurger,Human
ahmedhamidawan,Human
aseyboldt,Human
blake-regalia,Human
chrisrichardson,Human
codspeed-hq[bot],Bot
devmotion,Human
exitflynn,Human
galaxyproject-sentryintegration[bot],Bot
github-actions[bot],Bot
github-advanced-security[bot],Bot
grst,Human
hackmd-hub[bot],Bot
itisAliRH,Human
jinangshah21,Human
justjhong,Human
kylebarron,Human
maleadt,Human
meeseeksmachine,Bot
melonora,Human
mstimberg,Human
nanosoldier,Human
oesteban,Human
pangeo-bot,Bot
petscbot,Bot
philipp-baumann,Human
renovate[bot],Bot
review-notebook-app[bot],Bot
rkingsbury,Human
ropensci-review-bot,Human
scverse-bot,Bot
shahmoradi,Human
spyder-bot,Bot
sympy-bot,Bot
teresa-m,Human
vtjnash,Human
zingale,Human
